Name,Code,Price,Description,Dimensions,Thumbnail Image,Detail Image,Extra Large Image,Detail Page Link,Shopping Cart Link,Everyday,Birthday,Anniversary,Love and Romance,Get Well,New Baby,Thank You,Sympathy,Category
Eternal Splendor Urn Arrangement,FAA-954,104.95,"Eternal Splendor is a colorful urn arrangement with tall sides graduating down into a ring includes orange Asiatic lilies, viking pompons, peach hypericum, red spray roses, purple liatris, green miniature carnations. *** Urn not included. ***",16&quot; H x 15&quot; W,https://cdn.floristone.com/small/FAA-954.jpg,https://cdn.floristone.com/large/FAA-954.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-954&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-954&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral
Orange Delight,FAA-120,79.95,"Orange Delight includes Asiatic lilies, orange alstroemeria, orange miniature carnations and peach hypericum in a clear class Jordan vase.",15&quot; H x 11&quot; W,https://cdn.floristone.com/small/FAA-120.jpg,https://cdn.floristone.com/large/FAA-120.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-120&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-120&source_id=aff&affiliateid=2026051528,1,1,1,1,1,1,1,1,Funeral - Table Arrangements
Petal Splendor,FAA-121,84.95,"Petal Splendor is a centerpiece comes in a glass tropical vasefilled with lavender snapdragons, white alstroemeria, pink standard carnations, lavender daisy pompons.",21&quot; H x 13&quot; W,https://cdn.floristone.com/small/FAA-121.jpg,https://cdn.floristone.com/large/FAA-121.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-121&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-121&source_id=aff&affiliateid=2026051528,1,1,1,1,1,1,1,0,
Forever in Pink Flower Cross,FAA-800,349.95,The Forever in Pink Flower Cross is a cross of flowers consisting of 50 standard pink carnations as background and a snaking cascade from top to bottom of white and yellow roses with baby's breath.,34&quot; H x 22&quot; W,https://cdn.floristone.com/small/FAA-800.jpg,https://cdn.floristone.com/large/FAA-800.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-800&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-800&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Crosses
Forever In Our Heart,FAA-701,314.95,"Softness, tenderness and elegance are conveyed in Forever In Our Heart, an open heart flower arrangement filled with Asiatic lilies, carnations, spray roses, and Queen Anne's Lace blooms. Prominent flower colors are pink, white and green.",20&quot;,https://cdn.floristone.com/small/FAA-701.jpg,https://cdn.floristone.com/large/FAA-701.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-701&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-701&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Hearts
Striking Elegance,FAA-102,79.95,"White hydrangea and white roses set against hot pink spray roses create contrast, beauty and grace in this glass cube vase centerpiece flower arrangement accented with hypericum. Prominent colors are contrasting colors of white and pink.",11&quot; H x 9&quot; W,https://cdn.floristone.com/small/FAA-102.jpg,https://cdn.floristone.com/large/FAA-102.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-102&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-102&source_id=aff&affiliateid=2026051528,1,1,1,1,0,0,1,0,
Colorful Spirit Heart,FAA-700,464.95,"Honor a colorful spirit with a colorful flower heart. This is a generous solid heart filled an abundance of pink from gerbera daisies, hot pink spray roses, and pink carnations that blend and contrast with blue delphinium, white miniature carnations, white spray mums, lavender spider mums and statice.",26&quot;,https://cdn.floristone.com/small/FAA-700.jpg,https://cdn.floristone.com/large/FAA-700.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-700&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-700&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Hearts
Bold and Beautiful Funeral Wreath,FAA-604,349.95,"The Bold and Beautiful Wreath features the striking color contrast of red and white. The red in this wreath comes from comes from red roses, red spray roses, and the white comes from white fugi mums, white cushions pompons, white montecasino for filler. The wreath includes a white satin bow at top center.",20&quot; Round,https://cdn.floristone.com/small/FAA-604.jpg,https://cdn.floristone.com/large/FAA-604.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-604&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-604&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Wreaths
Glory,FAA-108,129.95,"Glory is a large and generous floor basket standing approximately 2 feet wide by 2 1/2 feet hight. Glory comes in a plastic white hoop basket and includes stems Bells of Ireland, stems green Fugi Mums, stems yellow Gerbera Daisies, tems white standard Carnations, stems white daisy Pompons, stems white Montecasino, stems white Stock, and a white satin bow.",33&quot; H x 24&quot; W,https://cdn.floristone.com/small/FAA-108.jpg,https://cdn.floristone.com/large/FAA-108.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-108&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-108&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Petals Surprise,FAA-116,79.95,"Petals Surprise is an all-around, centerpiece arrangement in a clear glass Ginger Vase that includes pink Asiatic lilies, pink spray roses, and pink alstroemeria.",15&quot; H x 11&quot; W,https://cdn.floristone.com/small/FAA-116.jpg,https://cdn.floristone.com/large/FAA-116.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-116&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-116&source_id=aff&affiliateid=2026051528,1,1,1,1,1,1,1,1,Funeral - Table Arrangements
